Year,"Agriculture, forestry & fishing",Mining & quarrying,Manufacturing,"Electricity, gas ,water supply & utility",Construction,"Trade, hotels, transport, communication and services related to broadcasting ","Financial,  real estate  &  professional  services ","Public administration, defence  and Other Services",GDP 
2011,323222,64670,350857,44662,182219,330070,395102,225669,2043496
2011,270231,55463,329937,46631,189096,337631,407657,263657,2029469
2011,505545,65815,334727,47957,197079,351579,343065,245399,2244852
2011,402949,75087,394465,47418,208941,393836,385053,291257,2418511
2012,360094,75789,374606,54330,203182,394347,461070,263982,2313203
2012,302961,59899,395939,52471,202602,403846,479904,304587,2356953
2012,557597,70447,377768,54453,211963,412552,400489,271594,2548378
2012,454454,79707,424523,54095,231618,453240,435169,323412,2725479
2013,407713,70645,413131,62946,221810,427470,533978,303684,2565374
2013,350835,63145,424395,65066,224408,456946,585666,341392,2686203
2013,670113,74589,416194,64911,231690,480886,459327,308435,2921070
2013,497711,87415,459732,67231,243562,509165,490537,348424,3060874
2014,460964,95040,471159,69662,247541,508205,620774,334552,2914393
2014,404350,68894,476474,71641,246390,517595,695118,390144,3053982
2014,688923,72720,435195,70691,242325,514666,520847,394998,3184917
2014,539374,71822,495542,70264,242829,567130,526608,371841,3314667
2015,499370,90269,530752,83640,253252,553748,690657,371179,3243543
2015,424241,61138,534069,87112,237074,541866,773347,433096,3355884
2015,721066,68977,506027,81634,248149,558605,577564,442648,3476632
2015,582855,73627,575342,82579,252608,640294,584570,413144,3695814
2016,573092,81934,575997,88422,273538,607116,783003,417101,3639775
2016,485562,60518,575852,89213,262498,594624,874053,484122,3754117
2016,801318,76935,554950,88829,274360,619242,619110,503381,3875007
2016,658690,107421,626923,89245,270473,718175,635271,494233,4122771
2017,614682,89447,583784,106824,287451,672181,867582,492027,4007453
2017,544703,69310,633546,107304,280664,661102,944159,544308,4172122
2017,903485,86182,620420,103950,305759,694315,696275,573664,4326105
2017,734038,112849,708858,107023,324057,785108,698542,559522,4592624
2018,655799,98202,664844,113836,324955,758987,974229,565871,4551224
2018,560416,80476,692530,118456,314756,744890,1068600,623661,4647831
2018,924273,97355,673890,113804,345528,778223,785893,649806,4817413
2018,782358,113290,735502,110316,359041,860520,793409,656245,4954770
2019,712222,104945,694993,124751,350920,806915,1056866,637682,4918228
2019,608227,75826,687906,122547,325815,783108,1138695,723713,4920694
2019,1053034,92789,664294,115188,349232,821438,818382,760995,5173234
2019,883959,119543,728394,124030,358928,905193,828581,764128,5327693
2020,752768,61586,421746,118150,170611,424739,1010899,605507,3808193
2020,655053,62218,699930,118709,298505,702556,1072756,670348,4722068